ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0457,34.3,12.0,28.5
0458,0.0,0.0,0.0
0459,31.6,16.7,27.6
0460,81.7,11.6,51.4
0461,38.7,24.9,32.0
0462,23.7,6.9,19.5
0463,24.7,14.8,19.7
0464,42.4,22.0,33.4
0465,4.2,0.0,1.3
0466,42.1,15.7,32.0
0468,17.8,2.1,11.0
0469,61.2,32.6,45.5
0470,31.3,11.2,20.0
0471,44.5,23.3,37.7
0472,1.6,0.0,0.8
0473,73.2,43.5,59.8
0474,8.0,0.0,3.8
0475,32.2,15.7,25.7
0476,22.5,0.0,13.7
0477,33.7,33.7,33.7
0478,30.7,6.5,24.8
0479,31.2,18.8,24.8
0480,103.0,17.5,64.5
0481,36.4,25.9,32.5
0482,50.4,23.5,40.7
0483,45.6,27.5,38.5
0484,46.0,20.1,29.8
0485,47.9,24.1,33.8
0486,46.1,28.7,34.2
0487,39.2,22.6,31.2
0488,38.7,23.5,36.4
0489,37.4,2.9,29.7
0490,31.6,9.5,27.9
0492,78.3,6.5,48.3
0493,107.3,10.5,61.1
0494,12.6,12.6,12.6
0495,6.9,2.3,4.2
0496,42.4,4.6,35.2
0497,51.5,36.7,40.9
0498,43.1,25.5,39.3
0499,101.6,40.6,59.0
0500,56.7,5.7,33.8
0501,43.4,0.3,8.0
0502,36.3,5.0,29.3
0503,76.5,1.7,49.2
0504,39.8,0.0,33.3
0505,76.7,21.6,33.5
0506,24.1,0.0,14.9
0507,53.1,7.1,35.2
0508,28.6,3.7,19.0
0509,71.7,11.8,50.3
0510,46.7,7.0,38.3
0511,37.9,22.4,34.4
0512,35.2,14.1,27.5
0513,78.2,1.7,46.8
0514,55.7,28.4,49.9
0515,43.0,5.1,37.6
0516,36.2,4.9,23.6
0517,96.0,5.8,40.6
0518,122.4,31.4,43.9
0519,70.2,9.1,44.7
0520,27.4,16.1,21.5
0521,59.3,0.0,32.6
0522,39.9,7.4,26.5
0523,54.6,14.6,38.5
0524,71.1,6.7,47.8
0525,42.4,22.4,33.6
0526,83.8,48.5,59.5
0527,48.7,22.1,39.7
0528,34.1,8.2,26.2
0529,71.4,7.7,45.9
0530,49.5,11.4,35.9
0531,61.7,61.3,61.5
0532,70.6,28.9,45.0
0533,73.5,2.9,52.8
0534,59.4,13.8,49.8
0535,69.0,36.1,55.6
0536,59.1,7.7,51.3
0538,40.8,37.4,39.6
0539,113.2,63.9,75.6
0540,41.1,0.0,6.0
0541,71.8,5.2,45.8
0542,60.0,0.0,42.9
0543,111.6,30.8,52.0
0544,59.9,29.5,39.3
0545,55.2,28.6,44.7
0546,48.5,25.8,37.4
0547,81.5,0.0,56.5
0548,43.7,9.1,33.7
0549,64.1,9.4,46.1
0550,60.2,0.0,44.2
0551,48.8,21.9,39.2
0552,95.2,4.9,62.5
0553,77.0,3.4,49.7
0554,82.1,12.0,58.3
0556,22.1,0.0,12.7
0557,48.5,27.4,43.7
0558,90.0,5.0,56.1
0559,138.6,65.5,81.5
0560,81.6,18.5,54.4
0561,52.9,9.0,39.7
0562,53.1,38.6,46.8
0563,105.7,9.5,65.5
0564,65.6,37.0,56.0
0565,110.2,45.6,64.5
0566,79.1,40.8,61.9
0567,130.8,48.1,77.9
0568,52.9,35.7,44.2
0569,85.1,17.9,69.5
0570,82.1,46.6,58.5
0571,55.5,35.3,44.3
0574,43.5,12.7,20.6
0575,103.0,5.2,31.6
0577,135.7,14.8,69.2
0578,143.1,2.2,34.4
0580,59.0,9.2,35.5
0581,123.6,41.8,77.8
0583,86.5,26.8,68.3
0584,25.6,18.6,23.8
0587,71.9,1.8,32.1
0588,147.3,0.0,102.5
0589,65.8,38.0,51.3
0590,107.3,15.4,78.5
0591,94.7,13.5,64.2
0593,94.9,33.9,72.1
0594,72.7,14.8,56.5
0595,0.0,0.0,0.0
0596,98.1,68.4,83.9
0597,68.4,19.7,40.1
0600,92.0,16.8,63.5
0601,39.8,39.8,39.8
0602,81.4,7.0,60.0
0603,77.4,5.9,24.9
0604,62.3,0.0,26.3
0605,96.2,0.0,68.4
0607,130.8,130.8,130.8
0608,113.5,42.5,61.1
0609,111.5,23.0,81.2
0610,49.0,5.3,38.6
0611,20.3,18.4,19.6
0612,35.1,0.0,12.9
0613,79.0,0.0,43.7
0614,60.3,5.0,46.1
0615,103.3,9.8,73.0
0616,84.3,10.3,47.3
0618,69.4,52.7,61.4
0620,64.7,31.8,47.5
0621,108.8,19.3,75.6
0622,108.1,16.2,81.3
0623,70.3,26.1,41.4
0624,99.0,8.3,72.4
0625,88.9,10.4,52.7
0626,68.8,16.9,59.5
0627,99.4,18.5,69.2
0628,139.1,20.5,93.9
0629,93.6,53.6,72.0
0630,62.5,32.4,49.2
0631,121.0,22.8,88.8
0632,102.4,18.3,73.7
0633,69.7,39.1,55.7
0634,110.3,19.5,71.3
0635,95.5,11.3,56.2
0636,7.2,0.0,3.2
0637,13.5,4.7,8.1
0638,71.5,21.0,58.3
0639,70.6,12.7,58.7
0640,106.4,58.8,82.4
0641,118.8,25.5,54.1
0642,81.0,27.1,66.5
0643,3.4,0.0,1.5
0644,98.5,15.5,70.6
0645,76.8,34.3,51.4
0646,105.5,16.6,61.3
0648,45.5,12.5,38.4
0649,73.5,16.7,58.4
0650,5.2,1.0,2.2
0651,51.0,26.7,45.7
0652,68.4,21.2,48.5
0653,25.2,12.6,21.0
0654,60.0,8.6,47.6
0655,18.6,0.0,9.9
0656,106.9,77.6,87.2
0657,95.5,45.0,68.4
0658,54.1,11.5,38.1
0659,41.4,7.7,24.5
0660,97.8,52.1,66.3
0661,40.7,24.3,32.5
0662,86.8,36.1,55.5
0663,81.0,26.5,40.2
0664,35.1,0.0,23.5
0665,82.5,12.3,58.8
0666,77.5,60.7,68.1
0667,146.7,30.1,59.5
0668,97.8,51.4,62.9
0669,55.5,21.9,45.2
0670,24.6,11.3,16.0
0671,103.2,0.0,85.9
0672,69.4,49.6,53.3
0673,44.6,9.9,33.5
0674,45.3,13.9,29.9
0675,73.0,15.0,49.5
0677,59.0,12.3,47.9
0679,88.0,20.1,60.7
0682,108.4,63.4,80.8
0683,53.0,19.7,42.5
0684,92.1,13.9,63.0
0685,51.4,2.6,32.9
0686,84.8,53.2,61.7
0687,25.8,13.5,18.0
0688,88.8,49.0,66.6
0689,95.0,74.7,84.8
0690,74.8,73.2,74.0
0691,11.2,0.0,5.3
0692,68.6,36.1,55.9
0693,46.7,12.2,29.4
0694,95.9,32.9,53.5
0695,16.9,0.0,9.9
0696,105.3,53.3,89.8
0697,69.1,46.2,58.9
0698,130.9,37.7,69.8
0699,139.6,49.1,83.4
0700,83.0,0.7,25.7
0701,52.2,36.5,46.3
0702,72.1,46.5,63.6
0703,53.6,41.4,46.8
0704,86.1,6.5,64.1
0705,83.0,37.7,57.0
0706,42.7,8.7,28.6
0707,62.4,0.0,13.2
0708,14.7,0.0,7.1
0709,2.6,0.0,1.4
0710,58.7,34.0,50.9
0711,11.1,0.0,7.5
0712,67.7,12.0,30.5
0713,44.9,13.5,28.6
0714,36.8,0.0,17.8
0715,50.9,20.8,32.1
0716,12.8,2.1,7.4
0717,44.3,0.7,9.1
0718,31.7,5.5,20.1
0719,18.2,4.2,10.6
0720,46.7,6.1,37.7
0721,71.9,27.4,46.1
0722,51.0,29.4,43.1
0723,27.7,0.0,18.7
0724,21.7,2.7,12.7
0725,52.0,14.3,40.5
0726,35.5,3.8,24.6
0727,58.5,17.0,37.1
0728,32.4,5.8,25.1
0729,42.3,28.3,32.7
0730,147.7,7.5,48.8
0731,8.4,0.0,3.8
0732,32.2,2.8,22.4
0733,59.3,19.1,32.9
0734,42.8,16.7,30.6
0735,47.9,19.1,37.6
0736,60.2,17.8,27.2
0737,52.2,0.0,36.3
0738,65.2,0.0,15.8
0739,94.1,27.4,37.9
0740,80.3,39.7,47.5
0741,30.2,5.3,23.2
0742,52.5,9.9,38.8
0743,61.8,42.4,54.2
0744,35.0,4.6,27.6
0745,31.0,6.8,20.8
0746,52.1,0.0,37.4
0747,83.2,83.2,83.2
0748,28.8,20.9,24.8
0749,100.6,26.9,38.0
0750,15.4,2.0,4.4
0751,32.2,1.8,25.4
0752,30.7,1.6,6.3
0753,31.7,0.0,12.2
0754,47.0,20.4,35.0
0755,32.3,22.7,29.5
0756,34.1,1.4,25.2
0757,78.2,18.0,34.1
0758,97.1,48.5,72.8
0759,23.6,0.0,11.8
0760,5.0,0.0,2.5
0761,33.4,33.4,33.4
0762,35.8,6.8,27.1
0763,37.4,26.9,31.9
0764,54.0,34.1,44.5
0765,28.7,3.7,20.6
0766,64.4,0.0,3.9
0767,0.0,0.0,0.0
0768,0.0,0.0,0.0
0769,40.8,0.0,4.7
0770,35.6,2.2,25.1
0771,0.0,0.0,0.0
0772,72.6,0.0,47.4
0773,7.6,7.6,7.6
0774,80.8,0.0,5.1
0775,59.7,20.6,29.4
0776,81.0,0.0,9.3
0777,44.9,44.9,44.9
0778,47.7,17.8,37.5
0779,0.8,0.0,0.5
0780,10.3,0.0,4.7
0781,3.7,3.7,3.7
0782,96.4,0.0,6.5
0783,2.6,0.0,0.9
0784,29.3,2.9,16.0
0785,26.8,3.3,15.9
0786,42.6,0.0,20.3
0787,40.3,27.5,31.3
0788,48.5,37.1,43.8
0789,24.2,13.4,17.5
0790,7.5,0.0,3.2
0791,46.3,35.0,41.6
0792,35.6,16.9,26.9
0793,28.2,0.0,3.7
0794,40.1,25.7,36.9
0795,56.9,9.9,42.4
0796,11.3,6.6,10.1
0797,46.1,32.6,39.1
0798,50.1,13.2,36.6
0799,38.8,29.1,34.2
0801,38.0,22.8,32.0
0802,39.3,25.5,35.8
0803,44.2,32.7,37.6
0804,45.9,43.2,44.5
0805,69.7,32.9,38.1
0806,48.5,23.6,38.9
0807,39.0,17.0,35.1
0808,11.3,5.6,9.6
0809,21.8,13.8,18.7
0810,58.5,0.0,36.3
0811,42.9,25.2,40.5
0812,43.6,27.4,39.7
0813,42.7,16.7,34.8
0814,11.8,8.4,10.1
0815,37.1,0.0,23.2
0817,21.7,20.8,21.3
0818,33.2,8.0,16.0
0819,20.2,10.0,17.0
0820,45.1,36.8,38.8
0821,46.4,31.1,38.4
0822,19.0,7.6,11.6
0823,56.2,35.9,44.3
0824,19.6,12.7,16.4
0825,38.5,35.8,37.2
0826,33.1,19.7,30.4
0827,38.3,29.5,34.0
0828,79.3,30.1,41.3
0829,48.5,36.3,43.2
0830,47.4,37.8,43.4
0831,34.1,7.6,28.7
0832,47.1,0.0,13.3
0833,56.4,30.6,38.4
0834,50.8,50.8,50.8
0835,30.9,30.9,30.9
0836,40.7,35.5,37.9
0837,33.8,25.0,29.4
0838,19.3,13.2,17.3
0839,28.3,17.7,24.2
0840,46.8,32.4,41.6
0841,13.9,9.8,13.0
0842,49.1,33.9,43.5
0843,66.8,46.3,55.7
0844,35.2,13.7,29.2
0845,33.1,24.8,31.7
0846,37.6,24.9,34.3
0847,40.8,13.5,34.7
0849,32.9,16.6,27.6
0850,39.2,29.7,34.7
0851,36.2,15.4,27.3
0852,23.7,12.1,17.9
0853,18.0,14.6,16.9
0854,10.3,0.0,2.0
0855,68.5,4.2,39.5
0856,7.0,4.8,5.9
0857,17.0,13.2,15.1
0858,81.3,16.5,44.8
0859,29.4,15.9,23.0
0860,46.8,9.6,29.8
0861,44.1,13.7,27.5
0862,8.0,0.0,1.7
0863,95.7,17.8,45.2
0864,0.0,0.0,0.0
0865,79.8,20.3,45.2
0866,63.8,14.0,32.8
0867,113.4,13.9,49.3
0868,89.5,54.3,68.7
0869,69.5,16.6,40.3
0870,76.4,62.9,69.6
0871,91.8,11.5,29.9
0872,91.4,18.7,45.0
0873,80.5,4.8,58.4
0874,105.8,15.2,45.2
0875,14.6,4.7,11.2
0876,25.8,13.9,21.3
0878,87.0,19.3,40.1
0879,32.3,10.7,18.8
0880,66.4,17.5,37.9
0881,91.7,10.6,46.9
0882,40.8,15.6,25.4
0883,86.8,18.9,46.5
0884,31.2,23.6,25.5
0885,40.8,13.0,27.5
0886,33.9,5.9,28.9
0887,63.0,29.0,45.8
0888,94.5,18.3,51.7
0889,81.8,9.9,58.8
0890,110.6,58.2,72.1
0891,4.5,0.0,2.3
0892,3.4,0.0,0.7
0893,6.5,0.0,3.6
0894,90.9,49.0,56.4
0895,23.2,4.0,18.4
0896,48.2,3.3,11.4
0897,34.6,33.8,34.2
0898,33.4,20.8,30.7
0899,49.3,27.0,43.8
0900,25.3,0.0,7.1
0902,29.1,23.5,26.4
0903,77.9,29.5,57.9
0904,36.1,23.9,32.9
0905,32.2,23.6,28.7
0906,35.7,24.4,32.1
0908,44.0,26.0,33.0
0909,100.5,11.8,61.5
0910,51.2,23.7,33.2
0911,40.7,3.6,23.7
0912,38.9,29.1,34.3
0913,70.1,0.0,46.2
0914,94.0,9.8,53.1
0915,88.7,9.7,49.2
0916,97.3,14.3,58.6
0917,68.1,10.4,46.5
0918,55.6,4.4,31.6
0919,50.2,0.0,45.0
0920,38.6,3.0,18.1
0921,44.0,0.0,14.3
0922,34.3,19.0,28.0
0923,82.0,10.0,52.5
0924,75.9,3.5,33.2
0925,29.5,29.5,29.5
0926,92.6,16.9,63.8
0927,96.6,8.1,56.9
0928,54.6,27.6,44.2
0929,39.0,13.8,31.3
0930,92.6,7.1,52.5
0931,39.5,4.7,23.6
0933,29.7,0.0,23.1
0934,89.5,4.9,61.7
0935,41.1,8.2,24.6
0936,67.5,28.2,44.6
0937,59.1,15.0,50.8
0938,70.3,1.4,26.2
0939,39.2,25.1,35.0
0940,61.0,27.3,46.4
0941,81.6,7.2,53.8
0942,61.0,3.9,42.7
0943,53.8,5.7,39.2
0944,49.8,20.6,27.3
0945,18.9,0.0,11.8
0946,40.4,21.4,28.8
0947,44.2,10.6,27.8
0948,59.6,45.5,51.5
0949,88.4,10.1,57.1
0950,83.7,4.2,68.1
0951,51.3,0.0,42.5
0952,50.0,27.1,38.8
0953,56.6,24.6,41.2
0954,85.4,0.0,13.3
0955,63.5,47.0,53.6
0956,68.6,20.4,43.8
0957,95.2,11.2,56.3
0958,94.4,27.4,59.1
0959,48.6,8.0,29.9
0960,59.8,11.2,41.0
0961,67.2,36.9,50.9
