ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0460,88.1,46.9,61.3
0461,30.5,0.0,21.5
0462,2.1,0.0,1.4
0463,45.8,32.4,38.0
0464,34.4,12.3,20.4
0465,21.0,0.0,8.9
0466,42.0,41.2,41.6
0467,81.3,57.4,66.9
0468,57.5,5.1,40.5
0469,79.8,26.5,42.2
0470,73.8,27.8,59.5
0471,60.9,31.8,42.0
0473,27.4,0.5,7.8
0474,51.7,5.5,41.8
0475,52.1,5.1,39.5
0476,72.5,43.0,49.1
0477,33.9,0.0,23.6
0478,52.1,0.0,30.1
0479,56.4,0.0,44.5
0480,49.6,0.0,37.2
0481,41.7,12.4,21.2
0482,67.1,6.4,22.1
0484,44.8,31.7,41.4
0485,88.6,13.2,57.5
0486,20.5,0.0,13.7
0487,111.3,55.6,80.1
0488,71.4,25.8,54.1
0489,57.1,5.0,39.3
0490,47.7,1.6,20.6
0491,0.0,0.0,0.0
0492,79.2,22.1,45.4
0494,53.3,0.0,35.8
0495,59.4,0.0,42.1
0496,59.2,0.0,37.0
0498,60.4,40.8,56.5
0499,29.6,0.0,16.3
0500,60.7,15.7,31.0
0502,43.5,0.0,14.9
0503,94.7,19.5,40.2
0504,117.0,12.2,55.9
0505,71.9,17.2,49.5
0506,46.3,35.6,40.0
0507,46.0,19.5,37.0
0508,86.4,28.8,45.9
0509,52.4,0.0,34.4
0510,71.2,5.1,42.6
0511,58.8,47.1,50.6
0512,47.5,6.6,34.6
0513,22.2,0.0,10.0
0514,57.4,5.1,19.9
0515,24.0,9.2,12.8
0516,55.3,4.8,40.5
0518,71.3,71.3,71.3
0519,52.1,0.0,32.1
0520,137.5,22.4,45.7
0521,41.6,13.1,30.5
0522,129.2,43.1,58.7
0523,48.1,25.2,38.3
0524,128.6,0.0,58.6
0526,97.4,27.4,53.1
0527,54.2,0.0,40.7
0528,69.3,26.1,49.6
0529,88.6,33.4,61.9
0530,52.0,0.0,40.4
0531,35.2,0.0,23.3
0532,11.7,2.1,8.3
0533,50.2,0.0,9.7
0534,96.1,21.7,41.5
0535,54.9,25.9,36.6
0536,43.0,0.0,10.9
0537,56.3,0.0,31.1
0538,111.7,0.0,87.5
0540,19.3,19.3,19.3
0542,28.2,2.9,19.2
0543,22.1,22.1,22.1
0544,91.9,34.4,51.3
0545,25.8,0.0,12.8
0546,87.2,5.3,51.1
0547,22.9,5.7,9.6
0548,35.4,4.0,9.9
0549,91.7,23.6,55.3
0550,21.1,0.0,11.2
0551,76.5,15.4,42.1
0552,31.4,3.2,9.5
0553,34.8,0.0,19.7
0554,51.9,3.8,11.8
0555,52.7,0.0,35.4
0556,63.1,34.7,48.1
0557,93.1,13.0,43.6
0558,29.7,0.0,21.8
0559,93.1,13.0,35.0
0560,16.4,2.1,6.0
0561,6.9,1.5,3.2
0562,37.5,4.8,12.2
0563,9.9,0.0,4.1
0564,101.8,29.9,55.4
0565,58.4,0.0,43.3
0566,42.6,18.6,33.9
0567,116.9,5.3,71.7
0568,106.1,2.0,42.4
0569,61.3,0.0,45.8
0570,73.9,34.8,58.9
0571,91.1,27.9,58.8
0573,121.5,67.9,95.4
0574,29.4,0.0,11.7
0575,31.1,31.1,31.1
0576,92.4,28.7,57.1
0577,53.2,0.0,26.6
0578,98.4,0.0,20.9
0579,29.4,9.1,16.1
0580,76.8,42.0,58.4
0582,97.3,18.2,31.7
0583,0.0,0.0,0.0
0584,21.5,0.0,12.6
0585,12.4,12.4,12.4
0586,142.5,8.4,47.9
0587,66.8,0.0,50.4
0588,31.8,0.0,14.6
0589,81.4,35.2,55.3
0590,47.6,0.0,36.5
0591,110.6,64.1,78.7
0592,2.6,0.0,1.1
0593,113.4,53.8,66.0
0594,91.4,28.0,65.3
0595,28.2,0.0,9.7
0596,83.6,15.0,35.7
0597,72.8,10.9,47.8
0598,29.0,0.0,10.3
0599,62.5,16.5,50.9
0600,25.9,0.0,9.3
0601,90.5,24.5,43.3
0602,83.1,0.0,50.6
0603,45.3,28.1,40.2
0604,80.0,44.9,55.8
0605,74.2,0.0,49.4
0606,145.3,16.9,51.4
0608,94.3,35.6,55.0
0609,50.2,0.0,34.5
0610,62.5,36.6,51.6
0611,82.8,6.3,61.7
0612,84.3,5.0,58.7
0613,44.3,5.4,9.6
0614,38.3,22.8,32.7
0615,34.5,0.0,10.7
0616,73.2,18.9,47.3
0617,73.5,57.1,67.2
0618,91.9,4.7,52.3
0619,63.4,20.6,50.0
0620,6.5,0.0,2.5
0621,62.4,29.7,44.0
0622,88.7,6.2,59.1
0623,22.5,1.9,15.8
0624,106.7,6.4,55.0
0625,102.2,24.0,54.7
0626,82.2,0.0,60.9
0627,36.6,4.3,25.7
0628,89.5,30.1,56.8
0629,36.0,1.5,10.3
0630,68.9,0.0,47.2
0631,16.0,11.3,13.8
0632,22.6,0.0,12.1
0633,20.3,3.4,13.2
0634,70.5,0.0,5.0
0635,23.7,0.0,9.4
0636,74.5,0.0,12.9
0637,69.6,43.1,56.7
0638,17.4,12.3,15.4
0639,32.6,7.5,16.7
0640,99.4,8.1,38.4
0641,96.7,0.0,9.5
0642,64.8,32.7,57.1
0643,9.2,1.6,5.4
0646,26.2,3.5,14.2
0647,38.3,15.0,21.6
0648,23.5,17.6,19.6
0649,48.0,29.0,42.2
0650,7.6,7.6,7.6
0651,0.0,0.0,0.0
0652,75.3,0.0,5.4
0653,41.3,0.0,9.4
0654,35.2,0.0,18.2
0655,89.7,5.8,27.6
0656,74.9,0.0,11.7
0657,4.7,4.7,4.7
0658,24.5,0.0,2.1
0659,58.3,0.0,11.4
0660,56.9,0.0,26.1
0661,14.7,4.5,6.9
0662,68.6,37.7,56.4
0663,19.7,0.4,6.8
0664,36.7,0.0,23.4
0665,36.1,0.2,7.9
0666,84.5,3.7,16.0
0667,53.9,0.1,6.1
0668,18.2,0.9,9.9
0669,22.9,0.7,11.3
0670,22.2,0.0,5.0
0671,29.0,0.1,6.6
0673,52.0,17.7,34.8
0675,96.6,25.4,54.2
0676,49.7,0.4,15.6
0677,108.5,27.4,61.4
0678,35.9,7.9,13.8
0679,28.8,0.0,16.5
0680,48.8,16.3,29.8
0681,56.1,22.4,34.7
0682,77.3,33.0,50.9
0683,3.2,1.3,2.1
0684,17.2,0.0,6.3
0685,79.1,9.8,24.1
0686,57.7,0.0,8.4
0687,35.1,3.6,19.4
0688,76.2,0.0,7.9
0689,51.3,0.0,31.1
0690,11.6,5.2,7.2
0691,46.3,5.2,27.8
0692,19.1,0.0,6.6
0693,8.1,0.0,3.5
0694,20.3,0.0,5.7
0695,75.9,36.6,56.2
0696,24.9,0.0,16.1
0697,37.1,1.4,8.6
0698,3.4,3.4,3.4
0699,25.3,0.0,5.4
0700,90.4,24.3,53.6
0701,42.3,0.0,15.3
0702,119.0,1.0,9.8
0703,38.9,0.0,9.7
0704,79.4,35.3,52.4
0705,11.9,1.4,6.5
0706,52.3,2.6,13.4
0707,4.9,1.2,2.3
0709,0.0,0.0,0.0
0710,52.7,1.0,18.3
0711,96.6,35.9,63.2
0712,35.8,13.1,21.9
0713,16.2,4.9,8.5
0714,24.2,0.0,15.8
0715,33.0,2.6,15.5
0716,5.8,1.3,3.5
0717,4.9,0.0,2.7
0718,103.0,41.7,65.6
0719,27.1,0.0,7.6
0720,46.7,0.0,11.1
0721,22.6,0.4,5.7
0722,97.1,37.2,58.1
0723,17.0,0.0,5.1
0724,77.0,38.3,53.7
0725,1.5,0.6,1.0
0726,10.7,0.0,3.4
0727,1.2,0.0,0.4
0728,22.4,0.0,4.3
0729,101.7,22.9,68.6
0730,29.9,0.0,4.4
0731,91.9,0.0,14.4
0732,11.9,0.0,5.7
0733,94.0,12.7,51.1
0734,77.8,10.5,22.7
0735,4.5,0.8,3.0
0736,57.1,24.0,44.0
0737,72.8,24.4,45.0
0738,5.6,0.0,3.0
0739,28.9,0.0,11.5
0740,92.7,8.2,53.5
0741,57.7,0.0,10.1
0742,37.6,29.9,34.4
0743,88.7,34.6,61.4
0744,69.7,39.8,53.6
0746,84.5,9.3,53.9
0747,65.7,30.8,50.0
0748,18.1,0.0,9.4
0749,70.6,11.3,44.2
0750,21.8,21.8,21.8
0751,17.7,0.0,6.1
0752,51.2,11.4,37.3
0753,54.2,2.5,11.6
0754,2.2,0.7,1.3
0755,1.6,0.0,0.5
0756,78.1,7.2,39.8
0757,141.4,42.5,89.3
0758,55.5,42.8,50.4
0759,86.6,0.0,70.3
0760,65.3,0.7,9.1
0761,71.2,5.9,47.3
0762,0.0,0.0,0.0
0763,9.6,0.0,7.1
0764,70.7,0.0,41.8
0765,23.4,0.0,9.1
0766,36.7,0.0,8.2
0767,21.0,0.4,4.1
0769,72.5,16.4,44.0
0770,39.2,6.2,15.7
0771,82.9,3.9,47.0
0772,116.8,79.1,94.9
0773,26.5,6.4,10.8
0774,10.0,1.8,4.3
0775,64.3,5.1,9.7
0776,10.3,0.0,6.2
0777,97.6,0.6,20.0
0778,20.0,0.0,13.0
0779,54.4,0.0,9.3
0780,3.7,0.0,2.3
0781,57.3,15.0,48.8
0782,40.1,4.7,22.3
0783,63.6,15.5,28.2
0784,84.7,43.7,60.8
0785,93.9,0.0,17.4
0786,32.6,0.1,9.5
0787,15.5,0.0,3.8
0788,43.5,0.0,18.0
0789,90.9,0.0,64.5
0790,53.8,6.4,13.8
0791,15.4,0.0,3.8
0792,104.1,9.4,69.3
0793,47.2,0.1,18.6
0794,15.5,0.0,7.0
0795,105.7,16.5,71.8
0796,14.7,0.0,6.7
0797,5.5,0.0,2.7
0798,35.3,26.5,30.9
0799,40.3,0.0,20.2
0800,43.7,32.8,38.3
0801,30.2,0.0,11.9
0802,29.0,0.0,5.5
0803,32.7,2.4,20.5
0804,57.0,12.7,44.6
0805,42.5,0.0,28.8
0806,45.8,0.0,19.1
0807,42.6,0.0,13.3
0808,113.9,45.3,75.6
0809,91.1,13.2,62.7
0810,83.8,55.9,68.3
0811,8.3,0.0,3.0
0812,0.0,0.0,0.0
0813,32.8,0.0,11.8
0814,20.7,4.6,8.0
0815,79.5,22.7,58.0
0816,114.7,7.7,65.1
0817,91.1,1.9,23.8
0818,37.5,0.0,21.4
0819,19.1,0.0,8.6
0820,44.7,0.0,22.2
0822,98.1,10.9,30.8
0823,0.6,0.0,0.1
0824,23.3,15.6,19.4
0825,41.3,16.5,26.5
0826,31.0,0.0,22.7
0827,49.7,0.0,24.0
0828,24.9,10.9,20.5
0829,38.7,0.0,23.3
0830,0.0,0.0,0.0
0831,28.2,0.0,20.9
0832,46.0,0.0,31.6
0833,91.9,10.2,63.7
0834,40.0,0.0,22.5
0835,102.5,30.2,70.6
0836,59.2,22.0,32.9
0837,133.8,20.4,35.7
0838,36.6,3.4,20.7
0839,50.2,16.0,30.9
0840,29.2,7.0,14.1
0841,39.4,10.3,22.9
0842,55.5,13.4,31.7
0843,80.1,37.0,53.7
0844,66.1,13.1,29.8
0845,24.6,0.0,17.1
0846,39.6,2.4,14.2
0847,46.5,17.0,32.0
0848,19.9,0.0,9.4
0849,38.4,19.3,27.2
0850,64.3,32.1,48.2
0851,137.2,33.4,55.8
0852,34.1,34.1,34.1
0854,45.2,0.0,30.6
0855,69.8,10.6,34.7
0856,11.2,0.0,1.8
0857,13.2,6.4,9.2
0858,31.9,2.7,15.0
0859,47.8,25.8,39.2
0860,120.5,5.5,18.0
0863,5.4,0.0,1.8
0864,28.9,4.1,18.4
0865,147.8,5.4,40.8
0866,94.8,12.4,37.2
0867,58.7,0.0,44.8
0868,125.4,33.3,46.2
0869,45.2,26.5,35.2
0870,86.2,33.7,54.6
0871,141.5,39.9,75.8
0872,45.9,0.0,35.8
0873,62.1,0.0,50.2
0874,35.5,19.1,30.9
0875,25.0,7.1,16.2
0877,29.2,29.2,29.2
0878,13.4,10.3,12.2
0879,88.8,17.2,34.6
0880,34.3,13.1,23.5
0881,66.4,0.0,50.8
0882,26.0,1.1,12.2
0883,76.8,11.4,51.2
0884,73.4,2.8,46.0
0885,90.8,23.7,57.5
0886,55.7,3.7,42.8
0887,77.0,16.1,48.8
0888,40.7,16.7,27.0
0889,12.0,11.8,11.9
0890,42.8,28.4,34.3
0891,8.1,2.0,5.1
0892,33.9,9.2,19.9
0893,43.8,27.7,33.1
0894,68.1,40.9,49.2
0895,36.6,0.0,15.9
0896,27.2,0.0,14.4
0897,54.2,17.8,37.2
0898,93.0,32.5,59.6
0900,64.0,4.6,38.9
0901,149.7,19.8,43.3
0902,69.4,0.0,49.7
0903,9.0,1.8,6.0
0904,89.8,0.0,44.4
0905,30.4,0.0,16.1
0906,12.8,0.0,4.8
0907,74.8,0.0,49.9
0908,103.4,34.2,53.2
0909,33.8,0.0,23.9
0910,32.5,0.0,23.1
0911,86.5,34.6,51.6
0912,75.4,3.4,54.6
0913,94.7,9.4,55.7
0914,73.1,11.1,23.5
0915,60.0,44.0,49.9
0916,76.1,8.9,32.4
0917,111.8,6.1,77.5
0918,84.4,31.7,51.2
0919,65.8,2.5,38.6
0920,46.5,0.0,18.3
0921,48.2,18.7,34.6
0922,97.6,31.8,52.7
0923,88.6,88.6,88.6
0924,43.4,18.9,34.0
0925,5.8,3.9,4.8
0926,80.2,4.9,54.0
0927,92.3,39.1,61.0
0928,104.5,39.9,55.0
0929,39.5,0.0,22.8
0930,46.7,26.7,37.4
0931,108.3,32.6,67.1
0932,79.2,2.7,22.8
0933,36.7,0.0,16.8
0934,44.7,0.0,30.8
0935,24.2,12.5,16.6
0936,93.5,0.0,69.4
0937,80.5,20.4,40.8
0938,90.1,5.7,58.6
0939,60.1,4.0,38.1
0940,59.8,0.0,42.1
0941,49.8,0.0,37.0
0942,103.0,21.0,83.2
0943,37.9,4.2,17.7
0944,30.6,0.0,16.2
0945,77.9,24.6,54.1
0947,37.4,0.0,11.5
0948,56.0,30.9,44.1
0949,111.1,22.8,56.0
0950,40.9,18.5,34.0
0951,36.7,3.1,18.3
0952,68.8,19.4,29.9
0953,49.8,6.2,18.2
0954,107.4,29.8,65.5
0955,82.0,1.1,61.7
0956,31.6,0.0,18.4
0957,63.6,0.4,21.7
0958,61.0,0.0,24.2
0960,95.4,89.7,91.9
0961,65.0,4.4,26.6
0962,82.6,23.7,60.9
0963,63.2,0.0,20.4
0964,12.3,12.3,12.3
0965,31.5,0.0,17.7
0966,10.3,7.0,9.0
0967,122.0,0.0,36.8
0968,51.2,0.0,15.8
0969,49.9,20.1,35.6
0971,71.8,0.8,32.5
0972,29.7,0.0,12.3
0973,47.1,2.1,15.6
0974,87.1,10.7,26.0
0975,70.0,16.8,38.9
0976,14.4,0.0,11.4
0977,41.1,0.0,32.0
0978,38.7,0.0,14.0
0979,23.3,0.0,10.1
0980,16.8,4.4,10.9
0982,47.7,0.0,26.2
0983,75.3,8.1,15.8
0984,43.6,0.0,12.7
0985,87.3,0.0,6.9
0986,35.8,4.5,15.6
0987,16.7,0.0,10.6
